Frame,Hand,Landmark,X,Y,Z
1,0,0,0.2727656364440918,0.7119433283805847,3.043606966457446e-07
1,0,1,0.2921696901321411,0.672847330570221,-0.0064815827645361
1,0,2,0.3238837718963623,0.6419146060943604,-0.015382245182991
1,0,3,0.3484856784343719,0.6170392036437988,-0.0233185160905122
1,0,4,0.3625817894935608,0.5934638381004333,-0.0316884741187095
1,0,5,0.3527130484580993,0.666609525680542,-0.0229845158755779
1,0,6,0.4004864990711212,0.6649234294891357,-0.0345747023820877
1,0,7,0.4280587136745453,0.6685587763786316,-0.0408658161759376
1,0,8,0.4474016427993774,0.6738203763961792,-0.043986540287733
1,0,9,0.3547329306602478,0.6932488679885864,-0.0265774950385093
1,0,10,0.406773954629898,0.6918278932571411,-0.035003375262022
1,0,11,0.4375943541526794,0.6935936808586121,-0.0395472645759582
1,0,12,0.4606790244579315,0.697048544883728,-0.0428252033889293
1,0,13,0.3524031639099121,0.719356894493103,-0.0298595614731311
1,0,14,0.4047347605228424,0.7198327779769897,-0.0371875315904617
1,0,15,0.4350446164608001,0.7213343381881714,-0.0405493266880512
1,0,16,0.4579267501831054,0.7232826948165894,-0.0429608225822448
1,0,17,0.3464394211769104,0.7427040934562683,-0.0330082401633262
1,0,18,0.3854180872440338,0.7456655502319336,-0.0390658229589462
1,0,19,0.4096556007862091,0.7470607757568359,-0.0396778620779514
1,0,20,0.4303022623062134,0.7479469776153564,-0.0394953601062297
1,1,0,0.7625964879989624,0.6771090030670166,1.5694459420956266e-07
1,1,1,0.7347903847694397,0.6379024982452393,-0.0033293105661869
1,1,2,0.6949349641799927,0.6085405349731445,-0.0117541942745447
1,1,3,0.6676341891288757,0.587026059627533,-0.0195939168334007
1,1,4,0.6529348492622375,0.5639905333518982,-0.029265072196722
1,1,5,0.6790181398391724,0.6285812854766846,-0.0306397341191768
1,1,6,0.6314613819122314,0.6369396448135376,-0.0436850003898143
1,1,7,0.6034232974052429,0.6468542218208313,-0.0497570522129535
1,1,8,0.5824544429779053,0.6557426452636719,-0.0535685680806636
1,1,9,0.6815354824066162,0.6580934524536133,-0.0363701768219471
1,1,10,0.6269540786743164,0.6699994206428528,-0.0484373494982719
1,1,11,0.5944933891296387,0.6776674389839172,-0.0537387803196907
1,1,12,0.5699047446250916,0.6840812563896179,-0.0579572431743145
1,1,13,0.6875022053718567,0.6871886849403381,-0.0407185368239879
1,1,14,0.6358107924461365,0.6982623934745789,-0.0503732524812221
1,1,15,0.604300320148468,0.703792929649353,-0.0543386042118072
1,1,16,0.580069899559021,0.7075893878936768,-0.0575265325605869
1,1,17,0.6956421732902527,0.7131877541542053,-0.0445825047791004
1,1,18,0.654879093170166,0.721699059009552,-0.0533337332308292
1,1,19,0.6299999952316284,0.7258224487304688,-0.0561056472361087
1,1,20,0.6088478565216064,0.728196918964386,-0.0577731393277645
7,0,0,0.2779574692249298,0.7075555324554443,3.471754439487995e-07
7,0,1,0.2932981848716736,0.6655709147453308,-0.0076750018633902
7,0,2,0.3228498697280884,0.6319575309753418,-0.0159091260284185
7,0,3,0.3460594415664673,0.6074380278587341,-0.0228361841291189
7,0,4,0.3613151311874389,0.5854641199111938,-0.0301517862826585
7,0,5,0.3526363372802734,0.6540999412536621,-0.0228614993393421
7,0,6,0.3980147838592529,0.6529086828231812,-0.034114446491003
7,0,7,0.4259267449378967,0.6571871042251587,-0.0407486520707607
7,0,8,0.446210503578186,0.6632571816444397,-0.0442303046584129
7,0,9,0.3553988337516784,0.6825312972068787,-0.0256238132715225
7,0,10,0.4045982956886291,0.681805431842804,-0.0337102264165878
7,0,11,0.4355228245258331,0.6833105683326721,-0.0385449007153511
7,0,12,0.4588798880577087,0.6857076287269592,-0.0421954207122325
7,0,13,0.3541040122509002,0.7101779580116272,-0.0281702894717454
7,0,14,0.4023910462856293,0.7095195055007935,-0.0350975580513477
7,0,15,0.4318047165870666,0.7101274728775024,-0.0379608534276485
7,0,16,0.4544287919998169,0.7107936143875122,-0.0401629358530044
7,0,17,0.3497787714004516,0.73476642370224,-0.0307574663311243
7,0,18,0.3875720798969269,0.734930694103241,-0.0362434647977352
7,0,19,0.4104927480220794,0.7346858382225037,-0.0361946634948253
7,0,20,0.429845929145813,0.7344645857810974,-0.0357022136449813
7,1,0,0.7594034075737,0.6775675415992737,2.000075056685091e-07
7,1,1,0.7382221221923828,0.635664165019989,-0.004252559505403
7,1,2,0.7048283219337463,0.6002597212791443,-0.0129662938416004
7,1,3,0.6814576983451843,0.5738541483879089,-0.0208502784371376
7,1,4,0.6696951389312744,0.5493544340133667,-0.0303909722715616
7,1,5,0.6876160502433777,0.6181074380874634,-0.03063440695405
7,1,6,0.6384528875350952,0.6177539229393005,-0.0433681830763816
7,1,7,0.6084684729576111,0.6214599013328552,-0.0493019744753837
7,1,8,0.5858861804008484,0.6257755756378174,-0.0528614856302738
7,1,9,0.6852227449417114,0.6468543410301208,-0.0356894694268703
7,1,10,0.6292928457260132,0.6472663283348083,-0.0470941290259361
7,1,11,0.5950725674629211,0.6487593650817871,-0.0521841719746589
7,1,12,0.569250762462616,0.6511803865432739,-0.056119292974472
7,1,13,0.6862988471984863,0.6756470799446106,-0.0394500531256198
7,1,14,0.6343756914138794,0.6763078570365906,-0.0478960573673248
7,1,15,0.6019580364227295,0.6759451627731323,-0.0520395673811435
7,1,16,0.5780127048492432,0.6755117177963257,-0.0553965270519256
7,1,17,0.6896082758903503,0.7018805742263794,-0.0429407134652137
7,1,18,0.648751974105835,0.7022956013679504,-0.0505598001182079
7,1,19,0.6233707666397095,0.7024012207984924,-0.0533455051481723
7,1,20,0.6023491621017456,0.7019715309143066,-0.055107906460762
8,0,0,0.2722182273864746,0.7143850326538086,2.649814234700898e-07
8,0,1,0.2893006205558777,0.67431640625,-0.0081875463947653
8,0,2,0.3221135437488556,0.6408162117004395,-0.0156522337347269
8,0,3,0.3460080027580261,0.6154565215110779,-0.0222006402909755
8,0,4,0.3621141016483307,0.5934271216392517,-0.0289206262677907
8,0,5,0.3515934944152832,0.6656867861747742,-0.0175416246056556
8,0,6,0.3940646052360534,0.6638590097427368,-0.0283733792603015
8,0,7,0.4211747050285339,0.6667823791503906,-0.0355956479907035
8,0,8,0.4407116770744324,0.6710217595100403,-0.0397860743105411
8,0,9,0.3558391034603119,0.6929337978363037,-0.020464239642024
8,0,10,0.4007307291030884,0.6910349726676941,-0.028753625229001
8,0,11,0.4298725128173828,0.6923484206199646,-0.0343621894717216
8,0,12,0.4521661400794983,0.6946157217025757,-0.0384537205100059
8,0,13,0.3555646240711212,0.7194783091545105,-0.0237490497529506
8,0,14,0.4022380411624908,0.7174803614616394,-0.0311031676828861
8,0,15,0.4302455186843872,0.7182736992835999,-0.034064345061779
8,0,16,0.4519529342651367,0.7192264199256897,-0.0360063500702381
8,0,17,0.35190549492836,0.7431896924972534,-0.0273073408752679
8,0,18,0.389693945646286,0.7433896064758301,-0.0328319668769836
8,0,19,0.4146146476268768,0.7435858249664307,-0.0329707898199558
8,0,20,0.4355488419532776,0.743809700012207,-0.0325441285967826
8,1,0,0.7545081377029419,0.6872918009757996,2.0989492099943169e-07
8,1,1,0.737572193145752,0.6443303823471069,-0.0050328695215284
8,1,2,0.707683801651001,0.6076878309249878,-0.0133999083191156
8,1,3,0.6867784857749939,0.5809324383735657,-0.0209600273519754
8,1,4,0.676765501499176,0.5569733381271362,-0.0302076265215873
8,1,5,0.6871777772903442,0.6255365014076233,-0.029645474627614
8,1,6,0.6406834125518799,0.620026707649231,-0.0423548780381679
8,1,7,0.6110366582870483,0.6214835047721863,-0.0485429055988788
8,1,8,0.5884006023406982,0.6246464848518372,-0.0524339787662029
8,1,9,0.6826494336128235,0.6543723940849304,-0.0344463661313056
8,1,10,0.6289563775062561,0.6507768630981445,-0.0463413633406162
8,1,11,0.5957876443862915,0.6495630145072937,-0.0519587844610214
8,1,12,0.5700457096099854,0.64983069896698,-0.0561491027474403
8,1,13,0.6820598840713501,0.683262288570404,-0.0381428562104702
8,1,14,0.630868136882782,0.6800634860992432,-0.0477090999484062
8,1,15,0.6007811427116394,0.6776217818260193,-0.0521142482757568
8,1,16,0.5778018832206726,0.6754006743431091,-0.0554208308458328
8,1,17,0.6847989559173584,0.708965539932251,-0.0415481254458427
8,1,18,0.6464682221412659,0.7070526480674744,-0.0504338443279266
8,1,19,0.6230822801589966,0.7053477764129639,-0.0536198727786541
8,1,20,0.6033955216407776,0.7030218839645386,-0.055380705744028
11,0,0,0.0,0.0,0.0
11,0,1,0.0,0.0,0.0
11,0,2,0.0,0.0,0.0
11,0,3,0.0,0.0,0.0
11,0,4,0.0,0.0,0.0
11,0,5,0.0,0.0,0.0
