Frame,Hand,Landmark,X,Y,Z
1,0,0,0.2569617629051208,0.5548624992370605,3.612944965425413e-07
1,0,1,0.2867759466171264,0.5301587581634521,-0.0017956973752006
1,0,2,0.3027262687683105,0.4917911291122436,-0.0054391054436564
1,0,3,0.3104825615882873,0.4664434790611267,-0.01218784134835
1,0,4,0.3021697998046875,0.4538656175136566,-0.0170817822217941
1,0,5,0.2658052146434784,0.4383550584316253,0.0048905587755143
1,0,6,0.2794037461280823,0.4039455056190491,-0.0084567815065383
1,0,7,0.2972526252269745,0.3820195198059082,-0.0177704580128192
1,0,8,0.3127344250679016,0.3703545331954956,-0.0222546868026256
1,0,9,0.2483941316604614,0.4404784739017486,-0.0050524300895631
1,0,10,0.2593817412853241,0.3890971541404724,-0.0189159791916608
1,0,11,0.2849987745285034,0.3697682619094848,-0.0238122381269931
1,0,12,0.3054842352867126,0.3627457320690155,-0.0237680207937955
1,0,13,0.2364493161439895,0.4507998824119568,-0.0170695707201957
1,0,14,0.2784371078014374,0.4309465289115906,-0.0349375419318676
1,0,15,0.2899333536624908,0.4565009176731109,-0.0325580984354019
1,0,16,0.2875292599201202,0.4751731753349304,-0.0252756606787443
1,0,17,0.2354985773563385,0.467601478099823,-0.0298634208738803
1,0,18,0.2785560190677643,0.4599325060844421,-0.0401972904801368
1,0,19,0.2828221023082733,0.4800088703632355,-0.0353333540260791
1,0,20,0.2731282114982605,0.4927526414394378,-0.0288358330726623
1,0,24,0.6829091310501099,0.5143900513648987,-0.0024693442974239
1,0,25,0.8363939523696899,0.7386593818664551,-0.0636526420712471
1,1,0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0
1,1,8,0.0,0.0,0.0
1,1,9,0.0,0.0,0.0
1,1,10,0.0,0.0,0.0
1,1,11,0.0,0.0,0.0
1,1,12,0.0,0.0,0.0
1,1,13,0.0,0.0,0.0
1,1,14,0.0,0.0,0.0
1,1,15,0.0,0.0,0.0
1,1,16,0.0,0.0,0.0
1,1,17,0.0,0.0,0.0
1,1,18,0.0,0.0,0.0
1,1,19,0.0,0.0,0.0
1,1,20,0.0,0.0,0.0
1,1,24,0.3266505300998688,0.5666669011116028,-0.0321236923336982
1,1,25,0.2492978274822235,0.911014437675476,-0.530168890953064
2,0,0,0.2567292153835296,0.5598794221878052,3.346799530845601e-07
2,0,1,0.2888428866863251,0.5349857211112976,-0.0020894603803753
